imdbid,bech-title,bech-rating,imdb-Title,imdb-Year,key
290673,Irreversible,1,Irreversible,2002,irrever02ible
275022,Crossroads,3,Crossroads,2002,crossro02adsi
317248,City of God,1,City of God,2002,cityofg11fgod
318411,"Magdalene Sisters, The",3,The Magdalene Sisters,2002,magdale02ters
285492,Cube2: Hypercube,3,Cube²: Hypercube,2002,cube2:h02cube
308379,Dark Water (Honogurai mizu no soko kara),3,Dark Water,2002,honogur02kara
283003,Spun,3,Spun,2002,spun02spun
257044,Road to Perdition,0,Road to Perdition,2002,roadtop02tion
295178,Austin Powers in Goldmember,1,Austin Powers in Goldmember,2002,austinp02mber
289408,"Powerpuff Girls, The",3,The Powerpuff Girls Movie,2002,powerpu02ovie
187738,Blade II,1,Blade II,2002,bladeii02deii
319970,Carrie,3,Carrie,2002,carrie13rrie
313255,Barbie as Rapunzel,0,Barbie as Rapunzel,2002,#N/A
303933,Drumline,1,Drumline,2002,drumlin02line
327753,Funny Ha Ha,3,Funny Ha Ha,2002,funnyha02haha
217505,Gangs of New York,1,Gangs of New York,2002,gangsof02york
253556,Reign of Fire,1,Reign of Fire,2002,reignof02fire
302640,"Hot Chick, The",3,The Hot Chick,2002,hotchic02hick
298130,"Ring, The",3,The Ring,2002,ring02ring
303297,Amandla! A Revolution in Four Part Harmony,3,Amandla! A Revolution in Four Part Harmony,2002,amandla02mony
190975,Low-Flying Aircraft,3,Low-Flying Aircraft,2002,#N/A
257756,High Crimes,3,High Crimes,2002,highcri02imes
277434,We Were Soldiers,3,We Were Soldiers,2002,weweres02iers
238546,Queen of the Damned,3,Queen of the Damned,2002,queenof02mned
278504,Insomnia,1,Insomnia,2002,insomni02mnia
290095,"Tuxedo, The",0,The Tuxedo,2002,tuxedo02xedo
183649,Phone Booth,1,Phone Booth,2002,phonebo02ooth
284655,WiseGirls,3,WiseGirls,2002,wisegir02irls
