key,title,year,opening_date,releasemonth,releaseweekday,releaseweeknumber,total_gross,adjusted_gross,nVotes,userscore,metascore,metacritic_user_score,studio,total_theaters,opening_gross,adjusted_opening_gross,opening_theaters,vote_distribution,metatitle,metayear,imdbtitle,imdbyear,cpimultiplier
frequen00ency,Frequency,2000,4/28/00,April,Friday,17,45010278,62148604.81,80388,7.3,67,8.9,NL,2631,9025584,12462208.15,2621,12211,Frequency,2000,Frequency,2000,1.38076474
timecod00code,Time Code,2000,4/28/00,April,Friday,17,1057750,1460503.904,5845,6.2,65,1.3,Sony,130,93148,128615.474,7,112100,Timecode,2000,Timecode,2000,1.38076474
whereth00rtis,Where the Heart Is,2000,4/28/00,April,Friday,17,33772838,46632343.89,26662,6.8,30,7,Fox,2439,8292939,11450597.76,2437,12101,Where the Heart Is,2000,Where the Heart Is,2000,1.38076474
cirqued00fman,Cirque du Soleil: Journey of Man [IMAX],2000,5/5/00,May,Friday,18,15627434,21552646.22,576,7.1,55,7.4,SPC,22,49837,68732.92376,7,12201,Cirque du Soleil: Journey of Man,2000,Cirque du Soleil: Journey of Man,2000,1.379154519
gladiat00ator,Gladiator,2000,5/5/00,May,Friday,18,187705427,258874787.9,960689,8.5,64,8.9,DW,3188,34819017,48020804.64,2938,1222,Gladiator,2000,Gladiator,2000,1.379154519
humantr00ffic,Human Traffic,2000,5/5/00,May,Friday,18,104257,143786.5127,18920,7.1,53,8.7,Mira.,22,26160,36078.68222,22,12211,Human Traffic,2000,Human Traffic,1999,1.379154519
idreame00rica,I Dreamed of Africa,2000,5/5/00,May,Friday,18,6651522,9173476.624,3696,5.6,33,7.6,Sony,2112,2411445,3325755.269,2112,1121000,I Dreamed of Africa,2000,I Dreamed of Africa,2000,1.379154519
luminar00rias,Luminarias,2000,5/5/00,May,Friday,18,292309,403139.2783,505,3.6,41, ,Latin,51,122158,168474.7577,51,3100000001,Luminarias,2000,Luminarias,2000,1.379154519
michael00emax,Michael Jordan to the Max [IMAX],2000,5/5/00,May,Friday,18,18650521,25721950.32,1703,7.5,57,8.2,Imax,56,578141,797345.7727,41,12211,Michael Jordan to the Max,2000,Michael Jordan to the Max,2000,1.379154519
upatthe00illa,Up at the Villa,2000,5/5/00,May,Friday,18,2933161,4045282.248,2259,6,57, ,USA,112,339819,468662.9095,89,121100,Up at the Villa,2000,Up at the Villa,2000,1.379154519
battlef00arth,Battlefield Earth,2000,5/12/00,May,Friday,19,21471685,29612771.4,64755,2.4,9,1.7,WB,3307,11548898,15927714.87,3307,4100000000,Battlefield Earth: A Saga of the Year 3000,2000,Battlefield Earth,2000,1.379154519
centers00tage,Center Stage,2000,5/12/00,May,Friday,19,17200925,23722733.44,15612,6.7,52,6.9,Sony,1506,4604621,6350483.86,1506,12101,Center Stage,2000,Center Stage,2000,1.379154519
comings99soon,Coming Soon,2000,5/12/00,May,Friday,19,5453,7520.529592,1308,4.4,46, ,Una.,1,3742,5160.79621,1,1011110000,Coming Soon,2000,Coming Soon,1999,1.379154519
hamlet00mlet,Hamlet [2000],2000,5/12/00,May,Friday,19,1577287,2175322.494,7974,6,70,5.8,Mira.,65,62253,85856.50627,4,121100,Hamlet,2000,Hamlet,2000,1.379154519
heldup99ldup,Held Up,2000,5/12/00,May,Friday,19,4705631,6489792.258,2837,5.1,21,4.5,Trim.,688,1911007,2635573.94,688,1211000,Held Up,2000,Held Up,1999,1.379154519
screwed00ewed,Screwed,2000,5/12/00,May,Friday,19,7027345,9691794.613,6916,5.7,7,8,Uni.,1761,3342085,4609251.63,1759,1111001,Screwed,2000,Screwed,2000,1.379154519
dinosau00saur,Dinosaur,2000,5/19/00,May,Friday,20,137748063,189975863.6,37664,6.4,56,7.5,BV,3319,38854851,53586843.34,3257,122100,Dinosaur,2000,Dinosaur,2000,1.379154519
roadtri00trip,Road Trip,2000,5/19/00,May,Friday,20,68540777,94528322.33,131273,6.5,55,4.4,DW,2654,15484004,21354834.09,2530,122100,Road Trip,2000,Road Trip,2000,1.379154519
smallti00ooks,Small Time Crooks,2000,5/19/00,May,Friday,20,17266359,23812977.04,30779,6.7,69,6.6,DW,886,3880723,5352116.662,865,23100,Small Time Crooks,2000,Small Time Crooks,2000,1.379154519
mission00leii,Mission: Impossible II,2000,5/24/00,May,Wednesday,21,215409889,297083521.8,237128,6.1,59,8.1,Par.,3669,57845297,79777602.76,3653,122100,Mission: Impossible II,2000,Mission: Impossible II,2000,1.379154519
81/2wom99omen,8 1/2 Women,2000,5/26/00,May,Friday,21,424123,584931.152,3320,5.8,36,2.5,Lions,30,92000,126882.2157,16,111100,8 ½ Women,2000,8 1/2 Women,1999,1.379154519
